fecha,t_min,t_max,hr_t_min,hr_t_max
2020-11-28,18.7,30.5,77.0,38.0
2020-11-29,18.3,31.4,85.2,38.9
2020-11-30,20.6,32.3,89.1,44.7
2020-12-01,22.6,32.7,75.9,42.1
2020-12-02,24.4,32.2,82.8,52.6
2020-12-03,23.0,32.0,70.9,41.9
2020-12-04,20.6,32.6,88.2,43.5
2020-12-05,21.1,32.4,82.8,42.6
2020-12-06,24.1,33.0,78.6,46.9
2020-12-07,24.4,33.2,80.8,48.6
2020-12-08,22.8,31.2,100.0,63.6
2020-12-09,21.1,30.5,84.8,48.6
2020-12-10,20.0,31.1,75.7,39.2
2020-12-11,19.6,30.3,83.3,44.0
2020-12-12,19.6,29.8,79.8,43.4
2020-12-13,19.3,26.9,92.1,58.1
2020-12-14,19.0,26.7,100.0,67.4
2020-12-15,20.3,30.2,100.0,59.2
2020-12-16,22.0,31.9,95.0,53.1
2020-12-17,24.3,30.4,91.2,63.8
2020-12-18,23.9,31.2,95.1,62.1
2020-12-19,22.8,31.4,92.3,55.7
2020-12-20,23.0,31.7,79.8,47.9
2020-12-21,22.8,31.6,86.5,51.6
2020-12-22,25.2,32.2,73.3,48.9
2020-12-23,23.4,34.1,81.7,43.9
2020-12-24,22.9,30.6,67.7,43.0
2020-12-25,22.0,28.2,81.4,56.2
2020-12-26,20.3,30.8,76.4,41.0
2020-12-27,19.7,30.5,91.1,47.9
2020-12-28,20.8,31.4,81.5,43.5
2020-12-29,24.6,29.7,81.5,60.4
2020-12-30,21.0,26.1,100.0,75.1
2020-12-31,21.0,28.9,99.8,62.3
